loc,title,institution,start,end,description_1,description_2,description_3,section,order
# education
Huazhong Agricultural University,"PhD., Microbiology","Wuhan, CN",2007,2012,Thesis: The characterization of a novel ArsR-type regulator in *Mycobacterium tuberculosis* and the characterization of molecular basis of isoniazid drug resistance in Mycobacteria,NA,NA,education,1
Huazhong Agricultural University,"B. S., Biotechnology","Wuhan, CN",2004,2008,bachelor-master continous program,NA,NA,education,2
Singapore Centre for Environmental Life Sciences Engineering, The SCELSE Summer Course,"Singapore",2016,2016,NA,NA,NA,education,3
# Research experience
College of Resources and Environment,Post-doc Lecturer,Huazhong Agricultural University,2016,9999,NA,NA,NA,research_positions,NA
School of Life Science,Post-doctoral Fellow,University of Science and Technology of China,2013,2015,NA,NA,NA,research_positions,NA
School of Food and Biological Engineering,Lecturer,Hubei University of Technology,2012,2012,NA,NA,NA,research_positions,NA
# Teaching position
"华中农业大学暑期生物信息学培训班",RNA-seq从入门到精通,武汉,2018,2018,NA,NA,NA,teaching_positions,NA
# Grants
#"**PI**, CNY ¥1,500,000",南方医科大学第三层次人才引进科研项目 (G618289088),NA,2018,2020,NA,NA,NA,grant,NA
#"**PI**, CNY ¥100,000, 中央高校基本科研业务费专项资金",hnRNPK蛋白在调控人肺癌细胞周期胞质分裂中的作用研究 (21613414),NA,2013,2013,NA,NA,NA,grant,NA
#"**PI**, CNY ¥20,000, 中央高校基本科研业务费专项资金",Hela细胞周期动态蛋白质组学分析 (21611303),NA,2011,2011,NA,NA,NA,grant,NA
# Conference presentation
"中国土壤学会第十三次全国会员代表大会",土壤生物膜的形成和群落演替,西安,2016,2016,NA,NA,NA,presentation,NA
"全国土壤生物生化与土壤健康学术研讨会",微生物之间的协作有利于细菌的存活和代谢,上海,2017,2017,NA,NA,NA,presentation,NA
"华中农业大学资源与环境学院博士后交流会",细菌的江湖——土壤微生物互作研究,武汉,2018,2018,NA,NA,NA,presentation,NA
"中国肠道大会",NA,背景,2019,2019,NA,NA,NA,present,NA
"第一届生物信息学人才发展论坛",NA,珠海,2019,2019,NA,NA,NA,present,NA

